Address1,FullAddress,Address2,Address3,Suburb,State,Postcode,Latitude,Longitude,GooglePlacesId
Skye Recreational Reserve - Pitch 2,"Skye Recreation Reserve, Skye VIC 3977, Australia",,,Skye,VIC,3977,-38.1193213,145.2197065,ChIJwZ-08SMM1moRwLoxBXZWBA8
Frank Holohan Soccer Complex - Pitch 2,"Frank Holohan Soccer Complex, Endeavour Hills VIC 3802, Australia",,,Endeavour Hills,VIC,3802,-37.9597669,145.243871,ChIJ30hVR2EW1moR2J12aA007e8
Ballam Park - Pitch 2,"Ballam Park, Frankston VIC 3199, Australia",,,Frankston,VIC,3199,-38.1500825,145.1615596,ChIJN-RVIhgL1moRcL4xBXZWBA8
Frank Holohan Soccer Complex - Mini 1(U11),"Frank Holohan Soccer Complex, Endeavour Hills VIC 3802, Australia",,,Endeavour Hills,VIC,3802,-37.9597669,145.243871,ChIJ30hVR2EW1moR2J12aA007e8
Frank Holohan Soccer Complex - Mini 2 (U11),"Frank Holohan Soccer Complex, Endeavour Hills VIC 3802, Australia",,,Endeavour Hills,VIC,3802,-37.9597669,145.243871,ChIJ30hVR2EW1moR2J12aA007e8
WL Simpson Reserve - Pitch 1,"W L Simpson Reserve, Hampton VIC 3188, Australia",,,Hampton,VIC,3188,-37.9380667,145.0207463,ChIJeYcoO8Ru1moR4KMxBXZWBA8
Shipston Reserve - Pitch 1,"Shipston Reserve, Cheltenham VIC 3192, Australia",,,Cheltenham,VIC,3192,-37.9689871,145.0483039,ChIJQ0bTwoFu1moRIOsxBXZWBA8
Beaumaris Reserve - Pitch 1,"Beaumaris Reserve, Beaumaris VIC 3193, Australia",,,Beaumaris,VIC,3193,-37.9826194,145.0352129,ChIJiZ4NNmxu1moREKoxBXZWBA8
Caloola Reserve,"Caloola Reserve, Oakleigh VIC 3166, Australia",,,Oakleigh,VIC,3166,-37.8905707,145.0924149,ChIJsUtXwmFq1moRsJkxBXZWBA8
Silcock Reserve,"Silcock Reserve, Croydon VIC 3136, Australia",,,Croydon,VIC,3136,-37.7881958,145.2884329,ChIJ8_ARX3Qw1moRUH8xBXZWBA8
Ardeer Reserve,"Ardeer Reserve, Ardeer VIC 3022, Australia",,,Ardeer,VIC,3022,-37.7783278,144.806793,ChIJBWw-pgpg1moRkHwxBXZWBA8
Keilor Park Recreation Reserve - Pitch 1,"Keilor Park Recreation Reserve, Keilor Park VIC 3042, Australia",,,Keilor Park,VIC,3042,-37.714453,144.8497461,ChIJZbwkJEpZ1moRcG0xBXZWBA8
Langama Park - Pitch 1,"Langama Park, Sunbury VIC 3429, Australia",,,Sunbury,VIC,3429,-37.586728,144.7092862,ChIJdfupQ-X51moRQGExBXZWBA8
Ralph Reserve,"Ralph Reserve, Sunshine West VIC 3020, Australia",,,Sunshine West,VIC,3020,-37.7926656,144.7992356,ChIJQR4fThZg1moREAgyBXZWBA8
B.T. Connor Reserve - Pitch 1,"B T Connor Reserve, Reservoir VIC 3073, Australia",,,Reservoir,VIC,3073,-37.7047545,144.9811479,ChIJWTZ6XUBF1moR0GsxBXZWBA8
Cairnlea Park - Pitch 1,"Cairnlea Park, Cairnlea VIC 3023, Australia",,,Cairnlea,VIC,3023,-37.7595762,144.7954571,ChIJwYO34vFf1moRAL8yBXZWBA8
Keilor Lodge Reserve - Pitch 1,"Keilor Lodge Reserve, Taylors Lakes VIC 3038, Australia",,,Taylors Lakes,VIC,3038,-37.6880869,144.7775976,ChIJZaRhpgH21moR0DEyBXZWBA8
Campbell Reserve,"Campbell Reserve, Coburg VIC 3058, Australia",,,Coburg,VIC,3058,-37.7563809,144.9773612,ChIJg2SKCKRE1moRUHYxBXZWBA8
Keilor Park Recreation Reserve - Pitch 4 (S),"Keilor Park Recreation Reserve, Keilor Park VIC 3042, Australia",,,Keilor Park,VIC,3042,-37.714453,144.8497461,ChIJZbwkJEpZ1moRcG0xBXZWBA8
Timber Ridge Reserve - Pitch 1,"Timber Ridge Reserve, Manningham VIC 3108, Australia",,,Manningham,VIC,3108,-37.7764297,145.106549,ChIJdwg9yg9H1moR0HsxBXZWBA8
Banyule Flats Reserve - Pitch 1,"Banyule Flats Reserve, Viewbank VIC 3084, Australia",,,Viewbank,VIC,3084,-37.750374,145.0865551,ChIJ1VQ47U5G1moRYPAxBXZWBA8
Latrobe Uni Lower Playing Field - Pitch 1,"Lower Playing Fields Pavilion, La Trobe University, Bundoora VIC 3083, Australia",,,Bundoora,VIC,3083,-37.7247295,145.0418714,ChIJ1Rqe4uZF1moRZ2PItQMl96s
McIvor Reserve - Pitch 1,"McIvor Reserve, Yarraville VIC 3013, Australia",,,Yarraville,VIC,3013,-37.821079,144.8696839,ChIJ7QYIqMtg1moRkOExBXZWBA8
McKechnie Reserve - Pitch 1,"McKechnie Reserve, Saint Albans VIC 3021, Australia",,,Saint Albans,VIC,3021,-37.7465072,144.7982051,ChIJYZ25mppf1moRgHMxBXZWBA8
Hume Reserve - Pitch 1,"Hume Reserve, Bell Park VIC 3215, Australia",,,Bell Park,VIC,3215,-38.1060988,144.3402249,ChIJ4x09YSkR1GoRMLgxBXZWBA8
Larissa Reserve,"Larissa Reserve, Saint Albans VIC 3021, Australia",,,Saint Albans,VIC,3021,-37.7492828,144.8191613,ChIJkYmztqhf1moRUHQxBXZWBA8
Laura Douglas Reserve - Pitch 1,"Laura Douglas Reserve, Dallas VIC 3047, Australia",,,Dallas,VIC,3047,-37.6692771,144.9395036,ChIJ097MLAtQ1moRsGUxBXZWBA8
RGC Cook Reserve - Pitch 1,"R G C Cook Reserve, Thomastown VIC 3074, Australia",,,Thomastown,VIC,3074,-37.6728637,144.9897546,ChIJ82NGApRP1moRcGYxBXZWBA8
Cartledge Reserve - Pitch 1,"Cartledge Reserve, Ivanhoe VIC 3079, Australia",,,Ivanhoe,VIC,3079,-37.7605554,145.034524,ChIJRUG8uT1E1moRUHcxBXZWBA8
Jack Thomas Reserve - Pitch 1,"Jack Thomas Reserve, Narre Warren North VIC 3804, Australia",,,Narre Warren North,VIC,3804,-37.9946294,145.3067462,ChIJidaQymQX1moRAKwxBXZWBA8
Baxter Park (Warragul),"Baxter Park, Warragul VIC 3820, Australia",,,Warragul,VIC,3820,-38.1632046,145.9228078,ChIJH5wrpe-VKWsR9A_e_llILhs
HA Smith Reserve - Pitch 1,"H A Smith Reserve, Boroondara VIC 3122, Australia",,,Boroondara,VIC,3122,-37.8367546,145.0352129,ChIJnw2whj1C1moRwOoxBXZWBA8
Saltwater Reserve - Pitch 1,"Saltwater Reserve, Point Cook VIC 3030, Australia",,,Point Cook,VIC,3030,-37.9079973,144.7556219,ChIJS4eGKnaI1moRXPV4WZaLlGk
Keilor Lodge Reserve - Junior,"Keilor Lodge Reserve, Taylors Lakes VIC 3038, Australia",,,Taylors Lakes,VIC,3038,-37.6880869,144.7775976,ChIJZaRhpgH21moR0DEyBXZWBA8
Saltwater Reserve - Pitch 2,"Saltwater Reserve, Point Cook VIC 3030, Australia",,,Point Cook,VIC,3030,-37.9079973,144.7556219,ChIJS4eGKnaI1moRXPV4WZaLlGk
Cairnlea Park - Pitch 2,"Cairnlea Park, Cairnlea VIC 3023, Australia",,,Cairnlea,VIC,3023,-37.7595762,144.7954571,ChIJwYO34vFf1moRAL8yBXZWBA8
Keilor Park Recreation Reserve - Pitch 5 (S),"Keilor Park Recreation Reserve, Keilor Park VIC 3042, Australia",,,Keilor Park,VIC,3042,-37.714453,144.8497461,ChIJZbwkJEpZ1moRcG0xBXZWBA8
Langama Park - Pitch 3,"Langama Park, Sunbury VIC 3429, Australia",,,Sunbury,VIC,3429,-37.586728,144.7092862,ChIJdfupQ-X51moRQGExBXZWBA8
Dixon Field Reserve - Junior,"Dixon Field Reserve, Gisborne VIC 3437, Australia",,,Gisborne,VIC,3437,-37.4834331,144.582768,ChIJhZMWepnk1moREGAxBXZWBA8
Langama Park - Pitch 2,"Langama Park, Sunbury VIC 3429, Australia",,,Sunbury,VIC,3429,-37.586728,144.7092862,ChIJdfupQ-X51moRQGExBXZWBA8
McIvor Reserve - Pitch 2,"McIvor Reserve, Yarraville VIC 3013, Australia",,,Yarraville,VIC,3013,-37.821079,144.8696839,ChIJ7QYIqMtg1moRkOExBXZWBA8
Monbulk Recreation Reserve - Pitch 1 (S),"Monbulk Recreation Reserve, Monbulk VIC 3793, Australia",,,Monbulk,VIC,3793,-37.8756597,145.4115172,ChIJceacSoQm1moRUJUxBXZWBA8
Hillsview Recreation Reserve - Pitch 1 (S),"Hillsview Recreation Reserve, 100 The Great Eastern Way, South Morang VIC 3752, Australia",100 The Great Eastern Way,,South Morang,VIC,3752,-37.6403922,145.0781564,ChIJfTei79tL1moR7tj_EOgqulY
East Burwood Reserve,"East Burwood Reserve, Burwood East VIC 3151, Australia",,,Burwood East,VIC,3151,-37.8558555,145.1617291,ChIJWfe4Xws_1moRgI8xBXZWBA8
Broadmeadows Valley Park - Pitch 2,"Broadmeadows Valley Park, Barry Road, Meadow Heights VIC 3049, Australia",Barry Road,,Meadow Heights,VIC,3049,-37.6652934,144.9158323,ChIJbRdn7oZQ1moRwEkxBXZWBA8
B.T. Connor Reserve - Pitch 2,"B T Connor Reserve, Reservoir VIC 3073, Australia",,,Reservoir,VIC,3073,-37.7047545,144.9811479,ChIJWTZ6XUBF1moR0GsxBXZWBA8
Morshead Park - Pitch 2 (S),"Morshead Park, Redan VIC 3350, Australia",,,Redan,VIC,3350,-37.5783783,143.8332407,ChIJN-Dig6VE0WoR0LRCFKV5BQ8
Dendy Park - Pitch 1 (Upper Green),"Dendy Park, Brighton East VIC 3187, Australia",,,Brighton East,VIC,3187,-37.9251788,145.0231572,ChIJo5mbxjRp1moRIKExBXZWBA8
B.T. Connor Reserve - Pitch 4,"B T Connor Reserve, Reservoir VIC 3073, Australia",,,Reservoir,VIC,3073,-37.7047545,144.9811479,ChIJWTZ6XUBF1moR0GsxBXZWBA8
Dendy Park - Pitch 2 (Gold),"Dendy Park, Brighton East VIC 3187, Australia",,,Brighton East,VIC,3187,-37.9251788,145.0231572,ChIJo5mbxjRp1moRIKExBXZWBA8
Sweeny Reserve - Pitch 2,"Sweeney Reserve, Narre Warren VIC 3805, Australia",,,Narre Warren,VIC,3805,-38.03931,145.3267916,ChIJH1CqdhAa1moRgOIxBXZWBA8
Howard Glover Reserve,"Howard Glover Reserve, Limeburners Road, Geelong VIC 3219, Australia",Limeburners Road,,Geelong,VIC,3219,-38.1539479,144.3842102,ChIJL7CG7SkU1GoR1jAj1Hl-nHQ
Morshead Park - Pitch 1,"Morshead Park, Redan VIC 3350, Australia",,,Redan,VIC,3350,-37.5783783,143.8332407,ChIJN-Dig6VE0WoR0LRCFKV5BQ8
Princes Park Caulfield - Pitch 1,"Princes Park/Hawthorn Rd, Caulfield South VIC 3162, Australia",,,Caulfield South,VIC,3162,-37.893092,145.0207906,ChIJDVTtsw5p1moRd7RyfyeNfdI
